org_name,search_name,search_description,search_type,severity,count,asset_ids
customer_success_playground,Authenticated Web Services,Locates web services with form-based or header-based authentication.,services,info,2,"['678a800d-72e7-415b-881f-6d17ec4073e4', '9c59e39d-eb8c-4043-97c4-0b116ac0c99f']"
customer_success_playground,Public & Private Network Connections,Assets that connect to both public and private networks can serve as entry points for internet attacks.,assets,medium,29,"['8a186674-a7d7-4d81-b0c9-196b320a5590', '50e3c8dd-1136-442a-9cc1-6580569a8725', '4d1b0df7-c0a0-4db9-b130-0bb8abb65f43', 'd9b42d97-5477-4601-9ec2-7fe06be001f1', '4be067bf-d108-452c-b662-06edb0296600', '57eb7fdf-9af2-454e-a0e3-9510df9053e8', 'be629319-47c0-407b-89e7-40b0fe58ac48', 'cf2e11e9-75da-4432-a1fb-3909222a84df', '4e53109a-0614-4d3e-a9c9-8542ee22d729', '6ee95692-938b-4041-8024-101be16b3996', '815c67c0-f4a2-4994-9bcf-8b85bb73b12f', 'a10ea60f-c2af-4b59-ae69-4bd4ed9bef37', '3e8c4ac2-6530-4b9c-84a6-74e1e08a1f6c', '971a8985-1a15-4933-bb12-758e7e22649c', '432324a4-6414-4ca8-b1d6-3a688a610f42', '7ef42907-fcaa-4057-82b9-3aaa0f5f7603', 'e95e860f-433d-4193-baec-94818cdc5308', 'deefeac5-7e05-4c36-827c-134eb6907d1a', '8857ed7d-1ef0-4b4f-b9c6-bf87ddd28a0d', 'afef63f3-81a6-4d76-a0cf-46ffda93c893', '1b33eb57-b45b-444a-9e8f-a06ec84a989d', 'e8983793-f096-4d66-be92-46fced3a6390', 'bcb5d25c-fdef-4ee6-b77a-076343d88d9c', '610531e0-5b5e-4fd9-b015-cfa463857c79', '76a07384-a661-414e-b0c0-940594c70aab', 'b06a83be-5b4a-43ad-baf7-509734e7d172', '7b795986-6137-4afa-b1dd-95c22498ec5a', '78eeaaaa-1051-409a-bd03-a9c472ec2838', '8b63baa8-0da4-4360-940f-af9003d127de']"
customer_success_playground,Unidentified Assets With Open Ports,"No matching OS, Type, or HW with at least one responsive port.",assets,info,11,"['17a79471-e7c9-4564-95ec-6b7303c5d3aa', 'cf2e11e9-75da-4432-a1fb-3909222a84df', '1ad7484f-a9a0-4022-bbf6-4046a6933ac9', '8bd8df85-fcda-426c-8781-3f677fbb81e3', '8e0a993f-5f67-4072-9158-9983712747f0', 'b06a83be-5b4a-43ad-baf7-509734e7d172', '7c7f1f62-e2ce-4cb7-98fe-7617f4efdd34', '5ac62161-387f-4c40-a308-f77ce75d6984', '155b3e6e-9439-40a8-9c27-55927f59a193', 'c4366e80-1439-414e-a9b2-0541ecc75628', '38826f6e-4e29-4c72-8b06-9a38cd457476']"
customer_success_playground,Open Wireless Networks,Identifies wireless access points without authentication.,wireless,medium,4,"['f76fbfee-df10-42b6-af6e-08e37adf4b28', 'ef517626-d9cd-403b-81d2-43930b013958', '77884645-59f9-4911-9632-91294573d116', 'ed897669-f44c-4026-84b9-192c9a4ea1c1']"
customer_success_playground,Services with Expired TLS Certificates,TLS certificates with an expiration date in the past.,services,medium,6,"['0cab477a-130d-4115-8b1d-4bafbdfe7992', '4dc43910-c0be-4bc1-8570-77f1fb3ffc5e', '6139703e-e9b2-4357-8855-ffba6a8fd33f', 'a1a19ba5-2e3e-4440-9479-0104ce21d5d9', 'b0ee94d4-12b3-4937-8324-c3b735ad78ce', 'e52aef66-0e42-4b73-95a2-295017644404']"
customer_success_playground,Services with Soon to Expire TLS Certificates,TLS certificates expiring in the next six weeks.,services,medium,24,"['366389c9-b8db-486c-846a-8879365e8db4', '050f80f6-a420-498b-9e50-c61fcf65fbf2', 'f26dbb12-b010-4c7a-b614-60f0ffeb0df2', '932bb4ef-e88c-4461-ade7-da882a858211', 'ad1071c5-e68b-42b7-adb1-c05fe181b946', '89c3fcd4-068e-453e-b332-ec60b5e64b54', '7d89e1c4-aed7-4284-967a-08d3af3b2129', 'c0af9a52-2182-43bf-8470-0a1b04ffb3e4', '816fc981-6c00-420f-992e-012b11d9ec92', '6269d494-d024-4093-88eb-511439e02be1', '50ab2552-a965-4c24-90e1-409956283326', 'b1bad3e2-87bb-41d5-9940-24128e54b5e1', '3a248fce-054c-4e0d-ab7f-d948572c60f8', 'dc9da47d-1556-4520-a5e3-1cfb3050a8c0', '52695cd2-f005-4a95-81cb-dedf54fbb438', 'f0a6b85d-88b6-4f54-81b0-2b5283caacee', '549ca475-39a8-4a39-bb20-af023ae8f227', '67282e47-dda4-44d2-a794-ba62ef768e32', 'e52aef66-0e42-4b73-95a2-295017644404', '4dc43910-c0be-4bc1-8570-77f1fb3ffc5e', 'b0ee94d4-12b3-4937-8324-c3b735ad78ce', '6139703e-e9b2-4357-8855-ffba6a8fd33f', '0cab477a-130d-4115-8b1d-4bafbdfe7992', 'a1a19ba5-2e3e-4440-9479-0104ce21d5d9']"
customer_success_playground,DNSMasq DNS Servers,Identifies DNS services running the dnsmasq software,services,info,2,"['445939ac-75b5-4492-8074-58a868858d6a', 'ba04aaa1-246f-42c7-9b1e-7389b41b1a37']"
customer_success_playground,Linux instances vulnerable to PwnKit,Identifies assets running Linux distributions that were affected by PwnKit (CVE-2021-4034).,assets,high,2,"['b7870886-b33e-4e25-bf6b-bce529a6d593', '72bc582c-7e73-4f9d-867d-291dedf796fe']"
customer_success_playground,Computing assets without CrowdStrike,Finds laptops/desktops/servers which are missing CrowdStrike agents.,assets,info,12,"['7e789a7d-f2fb-476f-95a4-f668021f4849', '4be067bf-d108-452c-b662-06edb0296600', '5ed4b695-db60-4dba-8e3f-1ac0180bf0ae', 'e697d9eb-0d73-4c13-9885-a7fc5ba580f0', '6ee95692-938b-4041-8024-101be16b3996', 'c1728414-274e-43ff-9fe7-7d44b3909ed9', '815c67c0-f4a2-4994-9bcf-8b85bb73b12f', '3e8c4ac2-6530-4b9c-84a6-74e1e08a1f6c', '81be6137-526c-4825-a77a-7b532566235f', '8b63baa8-0da4-4360-940f-af9003d127de', 'b7870886-b33e-4e25-bf6b-bce529a6d593', '72bc582c-7e73-4f9d-867d-291dedf796fe']"
customer_success_playground,Assets that haven't been scanned in 3 days,,assets,info,10,"['7e789a7d-f2fb-476f-95a4-f668021f4849', '8a186674-a7d7-4d81-b0c9-196b320a5590', '50e3c8dd-1136-442a-9cc1-6580569a8725', '4d1b0df7-c0a0-4db9-b130-0bb8abb65f43', 'f681a51e-eb49-4bb4-8f3c-6871cf103f3f', 'd9b42d97-5477-4601-9ec2-7fe06be001f1', '4be067bf-d108-452c-b662-06edb0296600', '57eb7fdf-9af2-454e-a0e3-9510df9053e8', 'be629319-47c0-407b-89e7-40b0fe58ac48', 'cf2e11e9-75da-4432-a1fb-3909222a84df']"
